1,Course ID,Course Name,Credit Hour,Semester of Student,Section,Teacher Name
2,CE413,Computer Networks,3,8,A,Mr. Salman Saeed
3,CE413,Computer Networks,3,8,B,Mr. Salman Saeed
4,ES221,Data Structures and Algorithms,3,4,I,Dr. Muhammad Zain Siddiqi
5,CS232,Database Management Systems,3,4,A,Mr. Ahsan Shah
6,CS232,Database Management Systems,3,4,B,Mr. Ahsan Shah
7,CS232,Database Management Systems,3,4,C,Ms. Abinta Mehmood
8,CS232,Database Management Systems,3,4,D,Ms. Abinta Mehmood
9,CS232,Database Management Systems,3,4,E,M. Qasim Riaz
10,CS424,Compiler Construction,3,8,C,Mr. Usama Arshad
11,CE231,Electronics I,3,4,B,Dr. Adnan Shah
12,CS251,Artificial Intelligence,3,4,E,Ms. Nazia Shehzadi
13,AI361,Natural Language Processing,3,6,A,Dr. Musadaq Mansoor
14,CS351,Artificial Intelligence,3,6,C,Dr. Khurram Khan
15,CS464,Data and Network Security,3,8,A,Dr. Rashid M Jillani
16,CS464,Data and Network Security,3,8,C,Dr. Qamar Abbas
17,CE222,Computer Organization and Assembly Language,3,4,A,Dr. Taj Muhammad Khan
18,CE222,Computer Organization and Assembly Language,3,4,D,Dr. Habib Ahmed
19,CE222,Computer Organization and Assembly Language,3,4,E,Dr. Ghulam Abbas
20,CS211,Operating Systems,3,4,C,Dr. Sarah Iqbal
21,CS211,Operating Systems,3,4,B,Mr. Badre Munir
22,DS351,Data Visualization,2,6,E,Dr. Farhan Khan
23,CS354,Deep Learning,3,6,B,Dr. Shahab Uddin Ansari
24,DS221,Inferential Statistics and Applied Probability,3,4,A,Dr. Babar Zaman FES
25,DS221,Inferential Statistics and Applied Probability,3,4,E,Dr. Babar Zaman FES
26,AI319,Computer Vision,3,6,A,Engr. Talha Ashfaq
27,CE221,Logic Design,3,4,C,Mr. Ahsan Shah
28,CE221,Logic Design,3,4,B,Dr. Muhammad Hanif
29,CS378,Design and Analysis of Algorithms,3,6,E,Dr. Masroor Hussain
30,CE313,Computer Communication and Networking,3,6,C,Dr. Qamar Abbas
31,CY201,Cyber Security Principles and Concepts,3,4,E,Ms. Beenish Urooj
32,CS112,Object Oriented Programming and Design,3,2,A,M. Qasim Riaz
33,CS112,Object Oriented Programming and Design,3,2,B,Ms. Nazia Shehzadi
34,CS112,Object Oriented Programming and Design,3,2,C,Dr. Salman Ahmed
35,CS112,Object Oriented Programming and Design,3,2,D,Mr. Abdullah Bin Zarshaid
36,CS112,Object Oriented Programming and Design,3,2,E,Mr. Said Nabi
37,CS112,Object Oriented Programming and Design,3,2,FI,Mr. Abdullah Bin Zarshaid
38,CS112,Object Oriented Programming and Design,3,2,G,M. Qasim Riaz
39,CS112,Object Oriented Programming and Design,3,2,H,Ms. Beenish Urooj
